policy_id,정책명,category(구분),age_condition(나이조건),employment_condition(취업조건),has_income_condition,소득조건 원문,housing_condition(주거조건),deadline(마감일),deadline_type,상태(2026-07-10 기준),다음 회차 예상,required_documents(필요서류),apply_url,description(설명),source(출처)
P001,청년월세 특별지원,국가단위,"19~24,25~29,30~34",제한없음,TRUE,"청년가구 소득 중위60% 이하(약 154만원), 원가구 중위100% 이하",월세,2026-05-29,회차마감,마감됨,일부 자료는 2026년부터 상시화 예정이라 하나 확인된 최신 공고는 회차 마감. 실서비스 시 상시 여부 재확인 필요,"임대차계약서, 소득금액증명원, 통장사본, 가족관계증명서",https://www.bokjiro.go.kr,"만19~34세 무주택 청년 중 부모와 별도 거주하며 월세로 사는 경우 월 최대 20만원, 최대 24개월 지원. 국토교통부 운영, 복지로에서 온라인 신청.",복지로(bokjiro.go.kr)
P002,서울시 청년월세지원,지역단위(서울),"19~24,25~29,30~34,35~39",제한없음,TRUE,임차보증금·월세 및 소득 기준 구간별 추첨(구간별 상이),월세,2026-05-19,회차마감,마감됨,"서울시 자체 사업, 연 1회 추정. 다음 공고 시기 미정","임대차계약서, 가족관계증명서, 소득금액증명원, 통장사본",https://housing.seoul.go.kr/site/main/content/sh01_060513,서울시 거주 청년 중 임차보증금 5천만원 이하·월세 60만원 이하 주택 거주자 대상. 서울주택도시개발공사 운영.,서울주거포털
P003,청년내일저축계좌,국가단위,"19~24,25~29,30~34,35~39","재직자,자영업자·프리랜서",TRUE,가구소득 기준중위소득 50% 이하 (2026년부터 100%→50%로 축소),제한없음,2026-05-20,회차마감,마감됨,연 1회 모집. 다음 회차는 통상 다음해 봄(2027년 5월경 예상),"근로확인서류(재직증명서/사업자등록증 등), 통장사본, 신분증",https://www.bokjiro.go.kr,"만15~39세 근로·사업소득 월10만원 이상인 저소득 청년 대상. 3년간 매월 10만원 저축 시 정부가 최대 30만원 매칭, 만기 시 최대 1440만원. 미취업자는 대상 아님.",복지로(bokjiro.go.kr)
P004,청년미래적금,국가단위,"19~24,25~29,30~34",제한없음,TRUE,"개인소득 7500만원 이하(종합소득 6300만원), 가구 기준중위소득 200% 이하",제한없음,2026-07-03,회차마감,마감됨,연 2회(6월·12월) 모집. 다음 회차는 2026년 12월 예상,"소득 증빙(국세청 자동연동으로 별도 제출 불필요), 신분증",https://ylaccount.kinfa.or.kr,"만19~34세 대상 자산형성 적금. 월 최대 50만원 납입 시 정부가 6~12% 기여금 매칭, 3년 만기 최대 2255만원. 서민금융진흥원 운영. 소득 기준이 관대해 웬만한 소득으로도 통과 가능.",서민금융진흥원
P005,청년문화예술패스,국가단위,19~24,제한없음,FALSE,소득 기준 없음,제한없음,2026-06-30,회차마감,마감됨,"생애 1회 지원, 연 1회 모집. 다음 대상자(2008년생 등)는 2027년 재모집 예상",본인인증만 필요(별도 서류 없음),https://youthculturepass.or.kr,"2006~2007년생(만19~20세) 대상 문화비 지원. 소득·재산 기준 전혀 없이 나이와 국적만 확인. 수도권 15만원, 비수도권 20만원 상당 포인트 지급. 생애 1회 한정.",문화체육관광부·한국문화예술위원회
P006,국민취업지원제도 I유형(청년 특례),국가단위,"19~24,25~29,30~34",미취업자,TRUE,"청년 특례: 가구 기준중위소득 120% 이하, 재산 5억원 이하",제한없음,2026-12-31,회차마감,진행중,"상시 접수(연중 신청 가능, 예산 소진 시 조기마감 가능)","신분증, 통장사본, 가구원 정보제공 동의서 (필요시 임대차계약서 등)",https://www.work24.go.kr,"만15~69세 구직자 대상 취업지원+구직촉진수당(월60만원, 최대6개월) 제공. 청년(15~34세)은 소득·재산 기준이 완화되어 일반 대비 문턱이 낮음. 고용24에서 상시 신청.",고용노동부·고용24
P007,청년전용 버팀목전세자금대출,국가단위,"19~24,25~29,30~34",제한없음,TRUE,"부부합산 연소득 5천만원 이하(신혼가구 7500만원), 순자산 3.45억원 이하",전세,상시,상시,진행중,상시 접수(계약일·전입일 중 빠른 날로부터 3개월 이내 신청),"임대차계약서, 주민등록등본, 소득증빙서류, 확정일자부",https://nhuf.molit.go.kr,"만19~34세 무주택 세대주 대상 저금리(연 1.3~4.3%) 전세자금대출. 최대 1.5억~2억원, 주택도시기금 운영. 소득이 없어도 HUG 보증으로 일부 대출 가능.",주택도시기금
P008,예비창업패키지,국가단위,제한없음,제한없음,FALSE,"소득 기준 없음 (사업계획서 평가로 선발, 재산·소득 심사 없음)",제한없음,2026-10-31,회차마감,진행중,"2차 수정공고 트랙 기준, 접수 마감까지 3개월 이상 남음","사업계획서(PSST 양식), 신분증, 사업자등록 미보유 확인서류",https://www.k-startup.go.kr,"사업 공고일 기준 사업자등록·법인설립을 하지 않은 예비창업자 대상. 사업화 자금 평균 4천~4700만원, 최대 1억원. 공식 연령 제한은 없으나 만39세 이하 청년 특화 트랙이 많음. 2026년 주 모집(일반)은 3/26 마감했으나 수정공고 트랙은 10/31까지 접수 중.",창업진흥원·K-Startup
P009,서울시 청년수당,지역단위(서울),"19~24,25~29,30~34",미취업자,TRUE,"가구 기준중위소득 50% 초과~150% 이하 (너무 낮아도, 너무 높아도 제외되는 밴드형 기준)",제한없음,2026-05-29,회차마감,마감됨,"연 2회(3월·6월경) 모집. 2차 공고는 2026년 6월경 예상되었으나 확정 공고 미확인, 다음 공고 재확인 필요","졸업·중퇴증명서, 통장사본, (단기근로자만) 근로계약서",https://youth.seoul.go.kr,"서울 거주 만19~34세 미취업 청년 대상 구직활동지원금. 월 50만원씩 최대 6개월(총 300만원). 생애 1회 한정, 국민취업지원제도·청년월세지원 등과 중복 불가.",청년몽땅정보통
P010,청년전용 보증부월세대출,국가단위,"19~24,25~29,30~34",제한없음,TRUE,"연소득 5천만원 이하, 순자산 3.45억원 이하",월세,상시,상시,진행중,상시 접수(계약일·전입일 중 빠른 날로부터 3개월 이내 신청),"임대차계약서, 소득증빙서류, 주민등록등본",https://nhuf.molit.go.kr,만19~34세 무주택 단독세대주 대상. 보증금 최대 3500만원(연 1.3%)+월세 최대 20만원(연 0%) 대출. 소득 없어도 자산 기준만 맞으면 신청 가능.,주택도시기금
P011,국민내일배움카드,국가단위,제한없음,제한없음,TRUE,"일반 소득기준 없음. 단, 대기업 재직자는 만45세 미만 제외, 특수형태근로종사자는 월소득 500만원 이상 제외 등 일부 예외조건 있음",제한없음,상시,상시,진행중,"상시신청, 마감 없음","신분증, 직업능력개발계좌 발급신청서, 개인정보 수집·이용 동의서",https://www.work24.go.kr,직업훈련이 필요한 국민 대상 5년간 최대 500만원(기본 300만+추가 200만) 훈련비 지원. 재직자·구직자·자영업자·프리랜서 모두 신청 가능. 공무원·사학연금 수급자·만75세 이상 등은 제외. 고용24에서 상시 신청.,고용노동부·고용24
P012,청년 주택드림 청약통장,국가단위,"19~24,25~29,30~34",제한없음,TRUE,"직전년도 소득 있는 근로·사업·기타소득자, 연소득 5천만원 이하",제한없음,상시,상시,진행중,"은행 상시 가입, 마감 없음","신분증, 소득확인증명서(청년우대형 가입용), 원천징수영수증 등",https://www.molit.go.kr/2024dreamaccount/main.jsp,"만19~34세 무주택자 대상 청약통장. 최대 연 4.5% 우대금리, 이자소득 비과세(이자 500만원·원금 600만원 한도). 청약 당첨 시 최대 4억원 대출 연계. 은행 영업점에서 상시 가입 가능.",국토교통부·주택도시기금